Day,Time,Show,Episode Title,Status,Matched File ID,Match Score
Monday June 29,12:10 AM,The Lease-Up - MHN Top Marketers,Top Marketers: Providing Value in a Multifamily Adjacent Space,MATCHED,2444229,100
Monday June 29,12:35 AM,The apartment department,Season 2 Episode 9 Supporting a Prospect First Experience with Technology,MATCHED,2370829,72
Monday June 29,1:15 AM,The NAA Apartmentcast,Season 1 Episode 12 The NAA Apartmentcast - Apartment Career Journeys - Kayla Quint,MATCHED,7889013,100
Monday June 29,2:00 AM,Multifamily Matters,29 Safety and Security at Multifamily Properties,MATCHED,2350696,93
Monday June 29,2:55 AM,ChangeMakers with Katie Goar,"84 Part:one Tanya Dempsey & Nicole Graham, Co-CEOs, CSG Advisors",MATCHED,2444298,70
Monday June 29,3:15 AM,The Lease-Up - MHN Management Diaries,Management Diaries: Are Your Properties Really Ready?,NEEDS UPLOAD,,67
Monday June 29,3:45 AM,The apartment department,Season 2 Episode 6 Are you Ready for the Future? Video Marketing 101,NEEDS UPLOAD,,68
Monday June 29,4:30 AM,The NAA Apartmentcast,Season 3 Episode 14 The NAA Apartmentcast - A Q4 Conversation with NAAEI President Kelli Lea,MATCHED,7889233,100
Monday June 29,4:55 AM,Multifamily Matters,121 Home Safe Home: How Millennial Preferences Are Redefining Multifamily Living,MATCHED,2350757,100
Monday June 29,5:50 AM,ChangeMakers with Katie Goar,"25 Part:one Evette Hester, Executive Director and CEO Housing Authority of New Orleans",NEEDS UPLOAD,,62
Monday June 29,6:10 AM,The Lease-Up - MHN Mission Success,Mission Success: How to Do Property Upgrades in a Cash-Tight Environment,NEEDS UPLOAD,,58
Monday June 29,6:35 AM,The apartment department,Season 2 Episode 7 Why Can't We All Just Get Along? The Argument for Unified Multifamily Marketing,MATCHED,2370827,78
Monday June 29,7:25 AM,The NAA Apartmentcast,"Season 4 Episode 1 Snappt – Trust, Transparency and Fraud Prevention as Powerful Amenities",NEEDS UPLOAD,,48
Monday June 29,8:15 AM,ChangeMakers with Katie Goar,"84 Part:two Tanya Dempsey & Nicole Graham, Co-CEOs, CSG Advisors",MATCHED,2444299,70
Monday June 29,8:40 AM,The Lease-Up - MHN Mission Success,How Bell Partners’ Lili Dunn Made Her Mark,NEEDS UPLOAD,,48
Monday June 29,9:00 AM,Multifamily - From The Ground Up,Episode - 002 Building Through the Cycle: Smart Multifamily Development in Today’s Market,NEEDS UPLOAD,,59
Monday June 29,9:40 AM,The apartment department,Season 1 Episode 3 Time is Money: Reducing Average Days Vacant for Increased Revenue,MATCHED,2370804,81
Monday June 29,10:00 AM,Multifamily Matters,431 Building A Superhighway To Housing,NEEDS UPLOAD,,55
Monday June 29,11:00 AM,The NAA Apartmentcast,Season 1 Episode 11 Apartment Career Journeys - Brett Frank,MATCHED,7889012,77
Monday June 29,11:30 AM,ChangeMakers with Katie Goar,"133 Maura Collins, Executive Director, Vermont Housing Finance Agency",NEEDS UPLOAD,,53
Monday June 29,12:15 PM,The Lease-Up - MHN Mission Success,"Mission Success: Another Challenge? Bring it On, Says Jennifer Rowe",MATCHED,2468333,100
Monday June 29,12:40 PM,The apartment department,Season 3 Episode 2 Automating the Routine to Elevate the Human Experience: AI Success with Arthur Kosmider and Brent Camp,NEEDS UPLOAD,,58
Monday June 29,1:15 PM,The NAA Apartmentcast,- Spotlight on Rental Housing Affinity Groups,MATCHED,7889225,80
Monday June 29,2:05 PM,ChangeMakers with Katie Goar,"76 Part:one Carol R. Naughton, Chief Executive Officer, Purpose Built Communities",MATCHED,2444282,76
Monday June 29,2:30 PM,Multifamily - From The Ground Up,Episode - 003 Staying Disciplined Through Uncertainty,NEEDS UPLOAD,,46
Monday June 29,3:20 PM,The Lease-Up - MHN NAA Insights,Where Will the Economy Be by Year-End?,MATCHED,2444241,100
Monday June 29,3:40 PM,Multifamily Matters,431 Building A Superhighway To Housing,NEEDS UPLOAD,,55
Monday June 29,4:30 PM,The apartment department,Season 2 Episode 2 Inside the Mind of an Operator: Stacey Hampton on Solving Occupancy Challenges and Selling Marketing,MATCHED,2370822,86
Monday June 29,5:20 PM,The NAA Apartmentcast,Season 3 Episode 13 The NAA Apartmentcast - Housing Dollars and Political Sense,MATCHED,7889232,100
Monday June 29,6:15 PM,ChangeMakers with Katie Goar,"97 Part:one Mariah Hayden, Executive Director, New Life Village",MATCHED,2444328,71
Monday June 29,6:45 PM,The Lease-Up - MHN Mission Success,"Mission Success: Another Challenge? Bring it On, Says Jennifer Rowe",MATCHED,2468333,100
Monday June 29,7:10 PM,The apartment department,"Season 1 Episode 13 The Blueprint Edition: AI, The Property Brothers, Data, Role Specialization, & Everything In-Between",MATCHED,2370815,86
Monday June 29,8:15 PM,The NAA Apartmentcast,Season 2 Episode 2 The NAA Apartmentcast - Federal Legislative Priorities for the Apartment Industry,MATCHED,7889015,100
Monday June 29,8:40 PM,Multifamily Matters,54 The Proptech Tsunami That Is Making Landfall in the Multifamily Spaces,MATCHED,2350677,95
